lambda_gram,embedding
érase,1111101101001
vez,1111110100000
familia,0110110001101
oso,0100110110100
vivir,1111111011010
lindo,0101001010000
casita,0001001111101
bosque,0001110101000
papá,0100010010011
grande,0110100001100
mamá,0101010000101
ós,1111101100111
tamaño,1101000100010
mediano,0101111101110
osito,0100110111100
pequeño,0100001010111
mañana,0101111100010
servir,1101110001101
deliciós,0010100000110
avén,0001101101010
desayuno,0010100101101
demasiado,0010100000100
caliente,0001010101010
comer,0011001011010
tres,1111011010101
decidir,0011100111000
ir,0111001111111
paseo,0100011100001
mientras,0101101001111
enfriar,0010001100010
cabo,0001010010011
minuto,0101101010111
niña,0100101100100
llamado,0101001010100
ricito,1101100100011
oro,0100110111000
llegar,0101001001010
casa,0001001010000
tocar,1111000100111
puerta,1100010001100
encontrar,0010001110011
respuesta,1101100010111
abrir,0000000111111
entrar,0010000001000
permiso,0100001101111
cocina,0011000111000
més,0100100001001
taza,1101000111101
mediana,0101111101111
gran,0110100001101
apetito,0000111001001
ver,1111110110101
primero,1100011010000
probar,1100011111000
frío,0110101001000
gustar,0111100100110
luego,0101011101001
tampoco,1101000100110
último,1111101100110
fría,0110101001001
perfecta,0100001111101
tanto,1101000100100
todo,1111000100000
dejar,0011100011110
poquito,1100001111111
después,0010111000000
sala,1101111011110
silla,1101010011001
sentar,1101110010110
alto,0000110011110
ancho,0000110100010
entonces,0010000011010
frágil,0110101001011
romper,1101101110011
bajo,0001101011110
peso,0100000101000
pueblito,1100010001001
lejano,0101000101100
cerdita,0001000110011
junto,0111000001010
cerdito,0001000110001
feliz,0110110110100
día,0010011100000
decir,0011100111011
hijito,0111111111100
tú,1111010100011
crecido,0011111101110
tiempo,1111000011101
adulto,0000011011101
vivar,1111111011101
mismo,0101101110100
él,1111101111000
mundo,0101100001101
fácil,0110101110110
deber,0011100100000
aprender,0000101001101
trabajar,1111001011001
lograr,0101011110110
sueño,1101011000111
despedir,0010101001001
besito,0001111110001
mejillar,0101111111110
menor,0101111010010
perezoso,0100001110100
prestar,1100011011010
atención,0001100001011
palabra,0100110000001
construir,0011010010110
pajar,0100110000111
terminar,1111000001111
temprano,1101000000100
acostar,0000001011111
descansar,0010100100101
medio,0101111101000
palo,0100010000100
quedar,1100110110010
chueca,0011000000110
querer,1100110101001
leer,0101000101111
instrucción,0111011000111
mayor,0101110100001
aplicado,0000111000100
mucho,0101100011100
ladrillo,0101000001011
construcción,0011010010011
casito,0001001111111
tomar,1111001100110
importar,0111010110010
nuevo,0100101010100
hogar,0111111101111
albergar,0000010010000
temible,1101000011000
lobo,0101011010010
feroz,0110110111001
hablar,0111101111001
merodear,0101111001101
dormir,0010010010111
tranquilamente,1111001000001
través,1111011011011
ventana,1111110010001
joven,0111000111101
bello,0001111010111
princesa,1100011110001
blancaniev,0001111101011
reino,1100100111101
padre,0100110001000
madrastrar,0101010101000
madrastro,0101010111000
reina,1100100111010
hermoso,0111111011010
arrogante,0000100101011
orgulloso,0100110101111
pasar,0100010100001
contemplar,0011010011000
frente,0110111000010
espejo,0110001001001
mágico,0100100000111
parar,0100010110011
preguntar,1100001001100
espejito,0110001001000
quién,1100111100101
hermosar,0111111011011
responder,1101100010100
mujer,0101100001000
satisfecho,1101110100000
pues,1100010000101
saber,1101111000011
siempre,1101010000000
verdad,1111110111111
embargo,0010011011010
año,0001101010110
belleza,0001111010101
bondad,0001110100101
hacer,0111101111110
evidente,0110010100000
buena,0001110001110
cualidad,0011111011011
superar,1101001000100
físico,0110101111100
fin,0110111100111
contestar,0011010001111
ser,1101110011011
aún,0001101010111
molinero,0101100100011
pobre,1100000111010
hijo,0111111111101
herencia,0111111000100
molino,0101100100010
asno,0000100011100
gato,0110100100000
reparto,1100100001011
segundo,1101110101011
este,0110011010011
lamentar,0101000011011
suerte,1101011000100
cuanto,0011111001000
cuál,0011101110001
parte,0100010101110
hermano,0111111001001
fortuna,0110111011010
sólo,1101001111000
escuchar,0110001101111
amar,0000110110001
decidido,0011100101000
ayudar,0001101111010
preocupe,1100011000111
señor,1101110000110
poder,1100000101111
útil,1111101100001
valioso,1111010011110
pensar,0100001011000
pedir,0100011011001
favor,0110110010011
regalar,1100100100110
saco,1101111001000
par,0100010010000
bota,0001110111001
andar,0000111100000
matorral,0101110100010
aunque,0001100100100
amo,0000110101010
creer,0011111101001
palabras,0100110000000
dar,0011101101100
animal,0000111101010
astuto,0000100001110
poner,1100001101001
plan,1100000001010
marcha,0101110110110
reunir,1101100111110
zanahoria,1111101011011
boscar,0001110101001
cazar,0001000100000
conejo,0011011101101
lleno,0101001000000
dirigir,0010110111010
hacia,0111101110111
palacio,0100010000001
real,1100111000100
conseguir,0011010111011
recibir,1100101001011
rey,1101100101101
majestad,0101010010010
botas,0001110111011
leal,0101000111010
servidor,1101110001111
marqués,0101110101001
carabás,0001011000000
nombre,0100101111111
ocurrir,0100111000100
ofrecer,0100111011010
regalo,1100100100101
anciano,0000110100001
carpinterir,0001001011010
gepeto,0110100111001
juguete,0111000011011
madero,0101010101011
niño,0100101101111
pueblo,1100010001011
marioneta,0101110111011
pino,0100000001001
especial,0110001011101
llamar,0101001011100
pinocho,0100000001011
noche,0100101101011
hado,0111101110001
azul,0001101110000
taller,1101000100001
carpintero,0001001011110
buen,0001110001010
hecho,0111101000001
demá,0010100001011
merez,0101111001010
desear,0010101111010
realidad,1100111000101
sonreir,1101011101011
varita,1111010000100
despertar,0010101001110
vida,1111111100100
cerrar,0001000010110
ojo,0100111010010
si,1101110000011
valiente,1111010011111
sincero,1101010010010
desinteresado,0010101011100
alguno,0000010000011
volver,1111111000101
grillo,0111100001101
pepe,0100001011010
