lambda_gram,embedding
érase vez familia,101011011001110101001111000100100000011
vez familia oso,101010011110001001000000110111011001011
familia oso vivir,010010000001101110110010111010101101000
oso vivir lindo,011101100101110101011010000110001011110
vivir lindo casita,101010110100001100010111100001110100000
lindo casita bosque,011000101111000011101000000001011000110
papá oso grande,011110000110101110110010110100111110000
oso grande mamá,011101100101101001111100000110011101110
grande mamá ós,010011111000001100111011101010110111101
mamá ós tamaño,011001110111010101101111011001110111001
ós tamaño mediano,101011011110110011101110010110100111110
tamaño mediano osito,100111011100101101001111100111011001010
mediano osito pequeño,011010011111001110110010100111110000110
mañana mamá ós,011010011011001100111011101010110111101
mamá ós servir,011001110111010101101111011001011100111
ós servir deliciós,101011011110110010111001110010111110101
servir deliciós avén,100101110011100101111101010001001000011
deliciós avén desayuno,001011111010100010010000110011000100110
avén desayuno demasiado,000100100001100110001001100010111111000
desayuno demasiado caliente,001100010011000101111110000001100101101
demasiado caliente comer,001011111100000011001011010010001100110
caliente comer tres,000110010110100100011001101010010010100
comer tres oso,001000110011010100100101000111011001011
tres oso decidir,101001001010001110110010110010111001001
oso decidir ir,011101100101100101110010010101110100100
decidir ir pasear,001011100100101011101001000111100101111
ir pasear bosque,010111010010001111001011110001011000110
pasear bosque mientras,011110010111100010110001100110101111100
bosque mientras enfriar,000101100011001101011111000011110110001
cabo minuto niña,000110001011001101100011000111000111001
minuto niña llamado,011011000110001110001110010110001100110
niña llamado ricito,011100011100101100011001101001000110000
llamado ricito oro,011000110011010010001100000111011000011
ricito oro llegar,100100011000001110110000110110001110001
oro llegar casa,011101100001101100011100010001110010111
llegar casa oso,011000111000100011100101110111011001011
casa oso tocar,000111001011101110110010111010000110101
oso tocar puerta,011101100101110100001101011000011100110
encontrar respuesta abrir,001111001010110010000011100000000101010
respuesta abrir puerta,100100000111000000001010101000011100110
abrir puerta entró,000000010101010000111001100011111111001
puerta entró casa,100001110011000111111110010001110010111
entró casa permiso,001111111100100011100101110111110100011
cocina més tres,001000010011001110000000011010010010100
més tres taza,011100000000110100100101001001111001011
tres taza avén,101001001010010011110010110001001000011
taza avén grande,100111100101100010010000110100111110000
avén grande mediano,000100100001101001111100000110100111110
grande mediano pequeño,010011111000001101001111100111110000110
ricito oro gran,100100011000001110110000110100111101111
oro gran apetito,011101100001101001111011110000101101010
gran apetito avén,010011110111100001011010100001001000011
apetito avén ver,000010110101000010010000111010100100001
avén ver deliciós,000100100001110101001000010010111110101
primero probar avén,100001000110010000100111100001001000011
probar avén taza,100001001111000010010000111001111001011
avén taza grande,000100100001110011110010110100111110000
taza grande avena,100111100101101001111100000001000111001
grande avena frío,010011111000000010001110010100110000011
avena frío gustar,000100011100101001100000110101000110011
luego probar avén,011001010110010000100111100001001000011
avén taza mediano,000100100001110011110010110110100111110
taza mediano avén,100111100101101101001111100001001000011
mediano avén caliente,011010011111000010010000110001100101101
avén caliente tampoco,000100100001100011001011011001110111010
caliente tampoco gustar,000110010110110011101110100101000110011
último probar avén,101011011111010000100111100001001000011
avén taza pequeño,000100100001110011110010110111110000110
taza pequeño vez,100111100101101111100001101010100111100
pequeño vez avén,011111000011010101001111000001001000011
vez avén frío,101010011110000010010000110100110000011
avén frío caliente,000100100001101001100000110001100101101
frío caliente perfecto,010011000001100011001011010111110011000
avén tanto deliciós,000100100001110011101111000010111110101
tanto deliciós comer,100111011110000101111101010010001100110
deliciós comer todo,001011111010100100011001101010000111001
comer todo dejar,001000110011010100001110010010111100001
todo dejar poquito,101000011100100101111000011000000111111
después comer desayuno,001100111010000100011001100011000100110
comer desayuno oso,001000110011000110001001100111011001011
desayuno oso ricito,001100010011001110110010111001000110000
oso ricito oro,011101100101110010001100000111011000011
ricito oro sala,100100011000001110110000111001010001000
sala tres silla,100101000100010100100101001001100000110
tres silla grande,101001001010010011000001100100111110000
silla grande mediano,100110000011001001111100000110100111110
primero sentar silla,100001000110010010110101011001100000110
sentar silla grande,100101101010110011000001100100111110000
silla grande silla,100110000011001001111100001001100000110
grande silla alto,010011111000010011000001100000100010000
silla alto gustar,100110000011000001000100000101000110011
luego sentar silla,011001010110010010110101011001100000110
sentar silla mediano,100101101010110011000001100110100111110
silla mediano silla,100110000011001101001111101001100000110
mediano silla ancho,011010011111010011000001100000100110110
silla ancho tampoco,100110000011000001001101101001110111010
