lambda_gram,embedding
érase vez familia oso,1010110110011101010011110001001000000110111011001011
vez familia oso vivir,1010100111100010010000001101110110010111010101101000
familia oso vivir lindo,0100100000011011101100101110101011010000110001011110
oso vivir lindo casita,0111011001011101010110100001100010111100001110100000
vivir lindo casita bosque,1010101101000011000101111000011101000000001011000110
papá oso grande mamá,0111100001101011101100101101001111100000110011101110
oso grande mamá ós,0111011001011010011111000001100111011101010110111101
grande mamá ós tamaño,0100111110000011001110111010101101111011001110111001
mamá ós tamaño mediano,0110011101110101011011110110011101110010110100111110
ós tamaño mediano osito,1010110111101100111011100101101001111100111011001010
tamaño mediano osito pequeño,1001110111001011010011111001110110010100111110000110
mañana mamá ós servir,0110100110110011001110111010101101111011001011100111
mamá ós servir deliciós,0110011101110101011011110110010111001110010111110101
ós servir deliciós avén,1010110111101100101110011100101111101010001001000011
servir deliciós avén desayuno,1001011100111001011111010100010010000110011000100110
deliciós avén desayuno demasiado,0010111110101000100100001100110001001100010111111000
avén desayuno demasiado caliente,0001001000011001100010011000101111110000001100101101
desayuno demasiado caliente comer,0011000100110001011111100000011001011010010001100110
demasiado caliente comer tres,0010111111000000110010110100100011001101010010010100
caliente comer tres oso,0001100101101001000110011010100100101000111011001011
comer tres oso decidir,0010001100110101001001010001110110010110010111001001
tres oso decidir ir,1010010010100011101100101100101110010010101110100100
oso decidir ir pasear,0111011001011001011100100101011101001000111100101111
decidir ir pasear bosque,0010111001001010111010010001111001011110001011000110
ir pasear bosque mientras,0101110100100011110010111100010110001100110101111100
pasear bosque mientras enfriar,0111100101111000101100011001101011111000011110110001
cabo minuto niña llamado,0001100010110011011000110001110001110010110001100110
minuto niña llamado ricito,0110110001100011100011100101100011001101001000110000
niña llamado ricito oro,0111000111001011000110011010010001100000111011000011
llamado ricito oro llegar,0110001100110100100011000001110110000110110001110001
ricito oro llegar casa,1001000110000011101100001101100011100010001110010111
oro llegar casa oso,0111011000011011000111000100011100101110111011001011
llegar casa oso tocar,0110001110001000111001011101110110010111010000110101
casa oso tocar puerta,0001110010111011101100101110100001101011000011100110
encontrar respuesta abrir puerta,0011110010101100100000111000000001010101000011100110
respuesta abrir puerta entró,1001000001110000000010101010000111001100011111111001
abrir puerta entró casa,0000000101010100001110011000111111110010001110010111
puerta entró casa permiso,1000011100110001111111100100011100101110111110100011
cocina més tres taza,0010000100110011100000000110100100101001001111001011
més tres taza avén,0111000000001101001001010010011110010110001001000011
tres taza avén grande,1010010010100100111100101100010010000110100111110000
taza avén grande mediano,1001111001011000100100001101001111100000110100111110
avén grande mediano pequeño,0001001000011010011111000001101001111100111110000110
ricito oro gran apetito,1001000110000011101100001101001111011110000101101010
oro gran apetito avén,0111011000011010011110111100001011010100001001000011
gran apetito avén ver,0100111101111000010110101000010010000111010100100001
apetito avén ver deliciós,0000101101010000100100001110101001000010010111110101
primero probar avén taza,1000010001100100001001111000010010000111001111001011
probar avén taza grande,1000010011110000100100001110011110010110100111110000
avén taza grande avena,0001001000011100111100101101001111100000001000111001
taza grande avena frío,1001111001011010011111000000010001110010100110000011
grande avena frío gustar,0100111110000000100011100101001100000110101000110011
luego probar avén taza,0110010101100100001001111000010010000111001111001011
probar avén taza mediano,1000010011110000100100001110011110010110110100111110
avén taza mediano avén,0001001000011100111100101101101001111100001001000011
taza mediano avén caliente,1001111001011011010011111000010010000110001100101101
mediano avén caliente tampoco,0110100111110000100100001100011001011011001110111010
avén caliente tampoco gustar,0001001000011000110010110110011101110100101000110011
último probar avén taza,1010110111110100001001111000010010000111001111001011
probar avén taza pequeño,1000010011110000100100001110011110010110111110000110
avén taza pequeño vez,0001001000011100111100101101111100001101010100111100
taza pequeño vez avén,1001111001011011111000011010101001111000001001000011
pequeño vez avén frío,0111110000110101010011110000010010000110100110000011
vez avén frío caliente,1010100111100000100100001101001100000110001100101101
avén frío caliente perfecto,0001001000011010011000001100011001011010111110011000
avén tanto deliciós comer,0001001000011100111011110000101111101010010001100110
tanto deliciós comer todo,1001110111100001011111010100100011001101010000111001
deliciós comer todo dejar,0010111110101001000110011010100001110010010111100001
comer todo dejar poquito,0010001100110101000011100100101111000011000000111111
después comer desayuno oso,0011001110100001000110011000110001001100111011001011
comer desayuno oso ricito,0010001100110001100010011001110110010111001000110000
desayuno oso ricito oro,0011000100110011101100101110010001100000111011000011
oso ricito oro sala,0111011001011100100011000001110110000111001010001000
sala tres silla grande,1001010001000101001001010010011000001100100111110000
tres silla grande mediano,1010010010100100110000011001001111100000110100111110
silla grande mediano pequeño,1001100000110010011111000001101001111100111110000110
primero sentar silla grande,1000010001100100101101010110011000001100100111110000
sentar silla grande silla,1001011010101100110000011001001111100001001100000110
silla grande silla alto,1001100000110010011111000010011000001100000100010000
grande silla alto gustar,0100111110000100110000011000001000100000101000110011
luego sentar silla mediano,0110010101100100101101010110011000001100110100111110
sentar silla mediano silla,1001011010101100110000011001101001111101001100000110
silla mediano silla ancho,1001100000110011010011111010011000001100000100110110
mediano silla ancho tampoco,0110100111110100110000011000001001101101001110111010
