lambda_gram,embedding
sombrero,1101011100100
antiverdura,0000111110110
envidia,0110000001010
despierto,0010101001101
ajajá,0000010111101
discusión,0010110110111
gruñero,0111100010111
revolver,1101100101011
higienir,0111111110011
insoportable,0111011001111
benandonner,0001111010011
solicitud,1101010100010
pavo,0100011010001
burl,0001110000110
cuervo,0011101000101
señora,1101110000010
unido,1111010100111
vivirlo,1111111011001
flores,0110111110110
alumno,0000110010100
lata,0101000110111
cuyo,0011101110000
papás,0100010010001
sombrío,1101011101111
libertad,0101001101000
lista,0101001010010
segurísimo,1101110111001
forcejear,0110111010000
permitir,0100001101100
ayer,0001101101001
llegues,0101001000101
rápido,1101101000011
remover,1100100010101
tesoro,1111000011010
debí,0011100100100
buitre,0001110001100
asistido,0000100010101
secuestrar,1101110100111
pillir,0100000011101
continente,0011010000101
granjero,0110100000000
irritado,0111001101001
diario,0010111111100
pagado,0100110001001
apenar,0000111011001
verar,1111110111101
pedacito,0100011011101
chico,0001000001010
corer,0011110110100
acierto,0000001110111
jactar,0111001100111
ala,0000010110111
diz,0010010000001
servido,1101110001110
luego,0101011101001
historia,0111111101000
sapo,1101111100110
temido,1101000001000
convertiremo,0011110011111
cargado,0001001001100
enfermo,0010001101100
exprimidor,0110010010100
gordita,0110100011101
josé,0111000111111
deliciosa,0010100000011
sonreír,1101011101001
atrevir,0001100111010
espalda,0110001010010
oh,0100111011101
invento,0111001010001
siiiii,1101010001010
mayordomos,0101111100000
entusiasmar,0110000000111
intrigar,0111001011011
diseño,0010110110011
patada,0100011111011
frágil,0110101001011
corazoncito,0011110110110
excesos,0110010111001
manzán,0101110011111
enredado,0010000111111
rosas,1101101010101
bieeeir,0001111111101
alucinado,0000110011101
charlar,0001000011000
gustoso,0111100100001
infinita,0111011111001
grueso,0111100011011
bromeandodijo,0001110010001
amistoso,0000110101011
tejía,1101000010000
lirar,0101001010001
notar,0100101110011
acogido,0000001010000
iracundo,0111001111010
ayudant,0001101111001
prado,1100001011101
lechuga,0101000101001
pepo,0100001011111
madrastrar,0101010101000
poder,1100000101111
prácticamente,1100010010100
actuase,0000001001001
genéticamente,0110100111000
cascabel,0001001110010
amarillenta,0000110110010
salgo,1101111010001
grandeza,0110100000100
hansel,0111101011011
solitaria,1101010100011
visir,1111111110000
estupor,0110011101101
construcción,0011010010011
gruñón,0111100110001
mediodía,0101111111001
simplemente,1101010010100
espacial,0110001110000
bastante,0001111001101
tapo,1101000101110
escrib,0110001100011
delicado,0010100000000
dedicado,0011100110010
necesita,0100100111010
vara,1111010001111
cintar,0011000010100
necesitamo,0100100111011
melodiós,0101111110110
salchichaber,1101111011100
conejitar,0011011101110
cocín,0011000101100
ejercicio,0010011111010
verdura,1111110111001
marqués,0101110101001
espeír,0110001000000
bajo,0001101011110
fría,0110101001001
estudiarar,0110011101001
decken,0011100111111
pulsar,1100110000110
pesar,0100000101100
recuerda,1100101111111
desafiar,0010100110110
saludar,1101111111100
participar,0100010101101
tele,1101000010110
obstáculo,0100101000010
recompensa,1100101010111
gusto,0111100100011
ventar,1111110110000
prohíbir,1100010100110
propuesta,1100010111110
imagino,0111010001000
trabajar,1111001011001
protector,1100010110100
caminito,0001011111001
nadie,0100100010010
abrazar,0000000110100
ahorrar,0000010101011
precario,1100001011111
emperifolla,0010011000010
controlo,0011110001010
cruel,0011111010011
través,1111011011011
mango,0101110000111
averiado,0001101100101
nadar,0100100010110
trueno,1111011101010
competencia,0011011000111
pañuelo,0100011010101
red,1100101111000
francés,0110111001101
hoja,0111111101101
quién,1100111100101
apps,0000101000110
animar,0000111101000
kai,0111000000001
agrado,0000011101100
yonk,1111101001110
llanto,0101001011000
hurtadilla,0111110011000
epimeteo,0110000011110
camión,0001011111111
habitación,0111101101111
tropezar,1111011111001
baboso,0001101010101
infundir,0111011111100
arrasar,0000101100001
demasiado,0010100000100
brujita,0001110011100
tímido,1111011100000
liberado,0101001101010
hefesto,0111101000000
maestro,0101010110010
talar,1101001100011
injusto,0111011010110
castigar,0001001111011
espejito,0110001001000
exasperado,0110010101010
fútbol,0110101111101
cielir,0011000000100
enseñaré,0010000110010
busqué,0001010001011
accidentado,0000001101101
pintura,0100000000111
mordisquear,0101100111100
disparar,0010110011101
señalar,1101110000101
ana,0000110100111
escurridiza,0110001111111
olvidado,0100111111101
vergonzoso,1111110101000
tener,1111000000001
hambrir,0111101011110
salcedo,1101111011101
adiós,0000011000110
sikkim,1101010001011
reconociera,1100101110011
jaulo,0111000101101
regaña,1100100101101
pescado,0100000101101
perdedor,0100001010011
malvado,0101010001111
mantequillar,0101110001000
preguntar,1100001001100
ratuna,1100111011000
mier,0101101001110
requetechupirratuno,1100100000000
entrada,0010000011001
gracia,0110100001001
ahí,0000010111000
midas,0101101000110
lechuzo,0101000101010
perú,0100000100010
