lambda_gram,embedding
érase,1010110110001
vez,1010100111111
familia,0100100001001
oso,0111011011000
vivir,1010101101100
lindo,0110001100000
casita,0001110101001
bosque,0001011001111
papá,0111100011101
grande,0100111110111
mamá,0110011111001
ós,1010110111010
tamaño,1001111000011
mediano,0110101001011
osito,0111011010111
pequeño,0111110011010
mañana,0110101000011
servir,1001011110110
deliciós,0011000000100
avén,0001001001100
desayuno,0011000110110
demasiado,0011000000111
caliente,0001100110011
comer,0010001101100
tres,1010010011001
decidir,0010111010000
ir,0101110101010
paseo,0111101000001
mientras,0110110001010
enfriar,0011110111100
cabo,0001100011101
minuto,0110110011010
niña,0111001000111
llamado,0110001100111
ricito,1001000111101
oro,0111011010000
llegar,0110001110011
casa,0001110011111
tocar,1010000111010
puerta,1000011110111
encontrar,0011110100010
respuesta,1001000011010
abrir,0000000101010
entrar,0011111110000
permiso,0111110110101
cocina,0010000101111
més,0111000001110
taza,1001111010110
mediana,0110101001010
gran,0100111110110
apetito,0000101110001
ver,1010100100110
primero,1000010011111
probar,1000010101111
frío,0100110001111
gustar,0101000111011
luego,0110010110001
tampoco,1001111000100
último,1010110111011
fría,0100110001110
perfecta,0111110101001
tanto,1001111000111
todo,1010000111111
dejar,0010111101011
poquito,1000001010101
después,0011010000000
sala,1001010010100
silla,1001100010001
sentar,1001011100100
alto,0000100010100
ancho,0000100111100
entonces,0011111101100
frágil,0100110001101
romper,1001001011101
bajo,0001001101011
peso,0111111001111
pueblito,1000011110001
lejano,0110000110111
cerdita,0001111011101
junto,0101111110011
cerdito,0001111011110
feliz,0100100100111
día,0011101000000
decir,0010111010010
hijito,0101010101000
tú,1010011000010
crecido,0010101001011
tiempo,1010000010110
adulto,0000010010110
vivar,1010101101001
mismo,0110110100111
él,1010110101111
mundo,0110111110110
fácil,0100110100100
deber,0010111000000
aprender,0000110001001
trabajar,1010001101110
lograr,0110010100100
sueño,1001101111010
despedir,0011001110001
besito,0001010100001
mejillar,0110101010100
menor,0110101100011
perezoso,0111110100111
prestar,1000010010011
atención,0001000001101
palabra,0111011111110
construir,0010011100100
pajar,0111011111010
terminar,1010000001010
temprano,1001111111000
acostar,0000001101010
descansar,0011000111001
medio,0110101001111
palo,0111100000111
quedar,1000100100011
chueca,0010000000100
querer,1000100110001
leer,0110000110101
instrucción,0101101111010
mayor,0110100111110
aplicado,0000101111000
mucho,0110111101000
ladrillo,0110000001101
construcción,0010011100010
casito,0001110101010
tomar,1010001000100
importar,0101100100011
nuevo,0111001100111
hogar,0101010110101
albergar,0000011100000
temible,1001111101111
lobo,0110010011100
feroz,0100100101110
hablar,0101001010001
merodear,0110101110110
dormir,0011100011010
tranquilamente,1010001111110
través,1010010010010
ventana,1010100011110
joven,0101111010110
bello,0001010011010
princesa,1000010100001
blancaniev,0001010110010
reino,1000111010110
padre,0111011110000
madrastrar,0110011001111
madrastro,0110011010000
reina,1000111010011
hermoso,0101010010011
arrogante,0000111001101
orgulloso,0111011001010
pasar,0111100111110
contemplar,0010011101111
frente,0100101111100
espejo,0100001110001
mágico,0111000000101
parar,0111100100010
preguntar,1000001110111
espejito,0100001110000
quién,1000101000110
hermosar,0101010010010
responder,1001000011000
mujer,0110111110000
satisfecho,1001011000000
pues,1000011111001
saber,1001010000010
siempre,1001100000000
verdad,1010100101010
embargo,0011101101100
año,0001001100100
belleza,0001010011001
bondad,0001011000110
hacer,0101001010100
evidente,0100011000000
buena,0001011110100
cualidad,0010101101101
superar,1001110000111
físico,0100110101000
fin,0100101000101
contestar,0010011110101
ser,1001011101101
aún,0001001100101
molinero,0110111000010
pobre,1000000101100
hijo,0101010101001
herencia,0101010000111
molino,0110111000011
asno,0000111101000
gato,0100111000000
reparto,1000111110010
segundo,1001011001101
este,0100010011101
lamentar,0110000010010
suerte,1001101111000
cuanto,0010101110000
cuál,0010110100001
parte,0111100110100
hermano,0101010001110
fortuna,0100101101100
sólo,1001110101111
escuchar,0100001001010
amar,0000100100001
decidido,0010111001111
ayudar,0001001010011
preocupe,1000010000101
señor,1001011111011
poder,1000000110101
útil,1010110111110
valioso,1010011101011
pensar,0111110010000
pedir,0111101101110
favor,0100100011101
regalar,1000111000100
saco,1001010001111
par,0111100011111
bota,0001011010001
andar,0000101000000
matorral,0110100111100
aunque,0001000111000
amo,0000100110011
creer,0010101001110
palabras,0111011111111
dar,0010110110111
animal,0000101001100
astuto,0000111110100
poner,1000001001110
plan,1000000001100
marcha,0110100100100
reunir,1001000101011
zanahoria,1010110010010
boscar,0001011001110
cazar,0001111000000
conejo,0010010110110
lleno,0110001111111
dirigir,0011011010011
hacia,0101001011010
palacio,0111100000001
real,1000101111000
conseguir,0010011010010
recibir,1000110001101
rey,1001000110110
majestad,0110011100011
botas,0001011010010
leal,0110000101100
servidor,1001011110101
marqués,0110100110001
carabás,0001101111111
nombre,0111001010101
ocurrir,0111010000111
ofrecer,0111010010011
regalo,1000111000110
anciano,0000100111110
carpinterir,0001110010011
gepeto,0100111010001
juguete,0101111101101
madero,0110011001101
niño,0111001001010
pueblo,1000011110010
marioneta,0110100101101
pino,0111111110001
especial,0100001101001
llamar,0110001101000
pinocho,0111111110010
noche,0111001001101
hado,0101001011110
azul,0001001011111
taller,1001111000001
carpintero,0001110010100
buen,0001011110011
hecho,0101001111110
demá,0011000001101
merez,0110101110011
desear,0011001010011
realidad,1000101111001
sonreir,1001101001101
varita,1010011111000
despertar,0011001110100
vida,1010101000111
cerrar,0001111100100
ojo,0111010011100
si,1001011111101
valiente,1010011101010
sincero,1001100011100
desinteresado,0011001101000
alguno,0000011111101
volver,1010101111001
grillo,0101000001001
pepe,0111110010011
alacena,0000011011011
conciencia,0010010101000
guardián,0101000101011
conocimiento,0010011001100
bien,0001010101010
mal,0110011100110
siguiente,1001100001011
enviar,0100000001010
orgullo,0111011001001
madera,0110011001100
escuela,0100001001110
vender,1010100010010
abrigo,0000000101001
comprar,0010010010110
libro,0110001010101
escolar,0100000110111
mostrar,0110111100100
camino,0001101010010
distraiga,0011011110101
atrás,0001000101110
anhelar,0000101001001
esperar,0100001111010
luz,0110010111010
agraciado,0000010110010
reinar,1000111010101
vanidós,1010011110001
superficial,1001110001001
sentir,1001011100111
decepcionado,0010111001010
apariencia,0000101100110
presente,1000010001111
nacimiento,0111000011000
otorgar,0111011011010
sabidurío,1001010000101
además,0000010000000
dotar,0011100011111
don,0011100010110
impartir,0101100010111
persona,0111110111101
sabiduría,1001010000100
poseer,1000001100010
consolar,0010011011100
transcurrir,1010010000001
consuelo,0010011100110
convertir,0010100010100
tan,1001111000101
pronto,1000011001100
comenzar,0010001101010
cautivar,0001110111000
acto,0000001101111
noblezo,0111001001100
sabiduer,1001010000011
cierto,0010000001101
olvidé,0111010101100
mencionar,0110101100010
príncipe,1000011101000
nacer,0111000010110
mechón,0110101000111
pelo,0111110000110
cabezar,0001100011011
razón,1000101110100
riquete,1001001000110
copetir,0010100100001
apellido,0000101101100
familio,0100100001011
siete,1001100000100
u,1010011000011
ocho,0111010000000
país,0111101100101
vecino,1010100000010
dos,0011100011101
hija,0101010100101
hermosura,0101010010100
comparación,0010001111101
asistido,0000111100110
copete,0010100100000
advertir,0000010011001
inteligente,0101110000011
aquel,0000110011101
afligeír,0000010100000
instante,0101101111001
pena,0111110001100
resultar,1001000100000
carecer,0001110000101
horripilante,0101011001100
ogro,0111010010101
crear,0010101001000
bueno,0001011110101
feo,0100100101010
perverso,0111111000010
maldad,0110011101010
volar,1010101110100
espacio,0100001100000
caer,0001100101001
quebrar,1000100100000
millón,0110110010001
fragmento,0100101110100
cristal,0010101011011
tierra,1010000011010
alcanzar,0000011101000
alguien,0000011111100
alojara,0000100001111
corazón,0010100100101
hielo,0101010011111
ciudad,0010000100001
amistad,0000100110001
gerda,0100111010010
kai,0101111111110
construido,0010011100011
habitacione,0101001001001
uno,1010011001010
enorme,0011111010011
jardinera,0101110111111
rosal,1001001100101
