word,binary
amontonado,0000110101110
amontonar,0000110101111
amor,0000110101101
amuleto,0000110101100
américa,0000110100100
amígdala,0000110100101
ana,0000110100111
anansi,0000110100110
ancho,0000110100010
anciana,0000110100011
anciano,0000110100001
anda,0000110100000
andar,0000111100000
andrea,0000111100001
andreo,0000111100011
anfitrión,0000111100010
angelito,0000111100110
angelitos,0000111100111
angry,0000111100101
angustiado,0000111100100
anhelado,0000111101100
anhelar,0000111101101
anhelo,0000111101111
anillo,0000111101110
animal,0000111101010
animalillo,0000111101011
animalito,0000111101001
animar,0000111101000
anoche,0000111111000
anochezca,0000111111001
ansia,0000111111011
ansiosamente,0000111111010
ansioso,0000111111110
antepasado,0000111111111
anterior,0000111111101
antiem,0000111111100
antigua,0000111110100
antiguo,0000111110101
antipático,0000111110111
antiverdura,0000111110110
antídoto,0000111110010
anular,0000111110011
anunciar,0000111110001
anunciarl,0000111110000
anuncio,0000111010000
apagado,0000111010001
apagar,0000111010011
aparato,0000111010010
aparecer,0000111010110
aparecido,0000111010111
apariencia,0000111010101
apartado,0000111010100
apartar,0000111011100
apartarno,0000111011101
apasionante,0000111011111
apelar,0000111011110
apellido,0000111011010
apenado,0000111011011
apenar,0000111011001
apenas,0000111011000
apetecer,0000111001000
apetito,0000111001001
apetitoso,0000111001011
apiadar,0000111001010
aplastar,0000111001110
aplaudir,0000111001111
aplauso,0000111001101
aplazar,0000111001100
aplicado,0000111000100
aplicar,0000111000101
aplicarl,0000111000111
apo,0000111000110
apoderado,0000111000010
apoderar,0000111000011
apodo,0000111000001
apolo,0000111000000
aporrear,0000101000000
apoyar,0000101000001
apoyo,0000101000011
apoyémono,0000101000010
apps,0000101000110
apreciado,0000101000111
apreciar,0000101000101
aprecio,0000101000100
aprend,0000101001100
aprender,0000101001101
aprenderás,0000101001111
aprendido,0000101001110
aprendiz,0000101001010
aprendí,0000101001011
apresado,0000101001001
apresuradamente,0000101001000
apresurado,0000101011000
apretado,0000101011001
apretar,0000101011011
aprovechar,0000101011010
apto,0000101011110
apuesto,0000101011111
apuntado,0000101011101
apuntar,0000101011100
apunto,0000101010100
apurada,0000101010101
apuro,0000101010111
apártense,0000101010110
apúratar,0000101010010
aquel,0000101010011
aquí,0000101010001
ar,0000101010000
arar,0000101110000
araña,0000101110001
arañar,0000101110011
araño,0000101110010
arbolito,0000101110110
arbusto,0000101110111
arcoiris,0000101110101
arcoíris,0000101110100
arcángel,0000101111100
arder,0000101111101
ardiente,0000101111111
ardilla,0000101111110
arena,0000101111010
arenoso,0000101111011
aret,0000101111001
argumentar,0000101111000
arma,0000101101000
armadillo,0000101101001
armadura,0000101101011
armar,0000101101010
armario,0000101101110
armatoste,0000101101111
armiño,0000101101101
aro,0000101101100
aroma,0000101100100
aromas,0000101100101
arpa,0000101100111
arquear,0000101100110
arrancar,0000101100010
arrancarla,0000101100011
arrasar,0000101100001
arrastrar,0000101100000
arre,0000100100000
arrear,0000100100001
arrebatárselo,0000100100011
arrebatártelo,0000100100010
arrecif,0000100100110
arreglar,0000100100111
arregle,0000100100101
arreglo,0000100100100
arrepentido,0000100101100
arrepiente,0000100101101
arriba,0000100101111
arriesgado,0000100101110
arrodillar,0000100101010
arrogante,0000100101011
arrojar,0000100101001
arrojándolo,0000100101000
arroyo,0000100111000
arrrrg,0000100111001
arruga,0000100111011
arrugado,0000100111010
art,0000100111110
arte,0000100111111
artilugio,0000100111101
artimaña,0000100111100
artista,0000100110100
artístico,0000100110101
asalto,0000100110111
asegurar,0000100110110
asegurarno,0000100110010
asegurarnos,0000100110011
aseguro,0000100110001
asegúratir,0000100110000
asemejar,0000100010000
asesino,0000100010001
asibikaashi,0000100010011
asigna,0000100010010
asinteír,0000100010110
asistente,0000100010111
asistido,0000100010101
asistir,0000100010100
asno,0000100011100
asomar,0000100011101
asombrado,0000100011111
asombro,0000100011110
asombroso,0000100011010
