lambda_gram,embedding
tú crecido tiempo cerdito adulto,10100101111010010101001000101000000110100011110101100000010010001
crecido tiempo cerdito adulto vivar,00101010010001010000001101000111101011000000100100011010101100101
tiempo cerdito adulto vivar mismo,10100000011010001111010110000001001000110101011001010110110011100
dejar él ir decir mundo,00101111000011010110110000010111010010000101110010100110111101001
él ir decir mundo llegar,10101101100000101110100100001011100101001101111010010110001110001
ir decir mundo llegar fácil,01011101001000010111001010011011110100101100011100010100110011001
decir mundo llegar fácil deber,00101110010100110111101001011000111000101001100110010010110111101
mundo llegar fácil deber aprender,01101111010010110001110001010011001100100101101111010000110000001
llegar fácil deber aprender trabajar,01100011100010100110011001001011011110100001100000011010001100101
fácil deber aprender trabajar lograr,01001100110010010110111101000011000000110100011001010110010011110
deber aprender trabajar lograr sueño,00101101111010000110000001101000110010101100100111101001101110011
mamá cerdito despedir besito mejilla,01100111011100001111010110001100110001000010100101110110101000110
cerdito despedir besito mejilla tres,00011110101100011001100010000101001011101101010001101010010010100
despedir besito mejilla tres cerdito,00110011000100001010010111011010100011010100100101000001111010110
besito mejilla tres cerdito vivir,00010100101110110101000110101001001010000011110101101010101101000
mejilla tres cerdito vivir mundo,01101010001101010010010100000111101011010101011010000110111101001
cerdito menor perezoso prestar atención,00011110101100110101010111011111001010010000011111110001000000111
menor perezoso prestar atención palabra,01101010101110111110010100100000111111100010000001110111011110011
perezoso prestar atención palabra mamá,01111100101001000001111111000100000011101110111100110110011101110
prestar atención palabra mamá cerdito,10000011111110001000000111011101111001101100111011100001111010110
atención palabra mamá cerdito decidir,00010000001110111011110011011001110111000011110101100010111001001
palabra mamá cerdito decidir construir,01110111100110110011101110000111101011000101110010010010011011111
mamá cerdito decidir construir casita,01100111011100001111010110001011100100100100110111110001110100000
cerdito decidir construir casita paja,00011110101100010111001001001001101111100011101000000111011101110
decidir construir casita paja terminar,00101110010010010011011111000111010000001110111011101010000000000
construir casita paja terminar temprano,00100110111110001110100000011101110111010100000000001001111110000
casita paja terminar temprano acostar,00011101000000111011101110101000000000010011111100000000001100111
paja terminar temprano acostar él,01110111011101010000000000100111111000000000011001111010110110000
terminar temprano acostar él descansar,10100000000001001111110000000000110011110101101100000011000101010
cerdito medio medio perezoso medio,00011110101100110101000010011010100001001111100101000110101000010
medio medio perezoso medio prestar,01101010000100110101000010011111001010001101010000101000001111111
medio perezoso medio prestar atención,01101010000100111110010100011010100001010000011111110001000000111
perezoso medio prestar atención palabra,01111100101000110101000010100000111111100010000001110111011110011
medio prestar atención palabra mamá,01101010000101000001111111000100000011101110111100110110011101110
atención palabra mamá cerdito construir,00010000001110111011110011011001110111000011110101100010011011111
palabra mamá cerdito construir casita,01110111100110110011101110000111101011000100110111110001110100000
mamá cerdito construir casita palo,01100111011100001111010110001001101111100011101000000111011111011
casita quedar chueco medio perezoso,00011101000001000100010010000111111101001101010000100111110010100
quedar chueco medio perezoso querer,10001000100100001111111010011010100001001111100101001000100100001
chueco medio perezoso querer leer,00011111110100110101000010011111001010010001001000010110000110000
medio perezoso querer leer instrucción,01101010000100111110010100100010010000101100001100000101101110110
perezoso querer leer instrucción construir,01111100101001000100100001011000011000001011011101100010011011111
querer leer instrucción construir él,10001001000010110000110000010110111011000100110111111010110110000
cerdita mayor aplicado prestar mucho,00011110101010110100110001000010111001010000011111110110111011000
mayor aplicado prestar mucho atención,01101001100010000101110010100000111111101101110110000001000000111
aplicado prestar mucho atención palabra,00001011100101000001111111011011101100000010000001110111011110011
prestar mucho atención palabra mamá,10000011111110110111011000000100000011101110111100110110011101110
mucho atención palabra mamá cerdito,01101110110000001000000111011101111001101100111011100001111010110
atención palabra mamá cerdito querer,00010000001110111011110011011001110111000011110101101000100100001
palabra mamá cerdito querer construir,01110111100110110011101110000111101011010001001000010010011011111
mamá cerdito querer construir casita,01100111011100001111010110100010010000100100110111110001110100000
cerdito querer construir casita ladrillo,00011110101101000100100001001001101111100011101000000110000001011
importar nuevo hogar albergar frío,01011000111110111001011011010101011001100000110111100100110000011
nuevo hogar albergar frío temible,01110010110110101010110011000001101111001001100000111001111100111
hogar albergar frío temible lobo,01010101100110000011011110010011000001110011111001110110010010110
albergar frío temible lobo feroz,00000110111100100110000011100111110011101100100101100100100100101
frío temible lobo feroz hablar,01001100000111001111100111011001001011001001001001010101001001001
temible lobo feroz hablar temible,10011111001110110010010110010010010010101010010010011001111100111
lobo feroz hablar temible lobo,01100100101100100100100101010100100100110011111001110110010010110
feroz hablar temible lobo feroz,01001001001010101001001001100111110011101100100101100100100100101
hablar temible lobo feroz encontrar,01010010010011001111100111011001001011001001001001010011110010101
temible lobo feroz encontrar merodear,10011111001110110010010110010010010010100111100101010110101101001
lobo feroz encontrar merodear bosque,01100100101100100100100101001111001010101101011010010001011000110
feroz encontrar merodear bosque ver,01001001001010011110010101011010110100100010110001101010100100001
encontrar merodear bosque ver cerdito,00111100101010110101101001000101100011010101001000010001111010110
merodear bosque ver cerdito menor,01101011010010001011000110101010010000100011110101100110101010111
bosque ver cerdito menor dormir,00010110001101010100100001000111101011001101010101110011100001111
ver cerdito menor dormir tranquilamente,10101001000010001111010110011010101011100111000011111010001110101
cerdito menor dormir tranquilamente través,00011110101100110101010111001110000111110100011101011010010001101
menor dormir tranquilamente través ventana,01101010101110011100001111101000111010110100100011011010100011001
érase vez joven bello princés,10101101100111010100111100010111101001100010100100001000010010100
vez joven bello princés llamado,10101001111000101111010011000101001000010000100101000110001100110
joven bello princés llamado blancaniev,01011110100110001010010000100001001010001100011001100001010100111
bello princés llamado blancaniev vivir,00010100100001000010010100011000110011000010101001111010101101000
princés llamado blancaniev vivir reino,10000100101000110001100110000101010011110101011010001000111001000
llamado blancaniev vivir reino lejano,01100011001100001010100111101010110100010001110010000110000110100
blancaniev vivir reino lejano padre,00010101001111010101101000100011100100001100001101000111011100110
vivir reino lejano padre madrastro,10101011010001000111001000011000011010001110111001100110011001001
madrastra reina hermoso arrogante orgulloso,01100110001111000111000101010101001001000001110010000111010111110
pasar día contemplar él frente,01111001011000011100110110001001110101010101101100000100101110010
día contemplar él frente espejo,00111001101100010011101010101011011000001001011100100100001101011
espejo mágico parar frente preguntar,01000011010110110111111000011110001001001001011100101000001100010
mágico parar frente preguntar espejito,01101111110000111100010010010010111001010000011000100100001101010
parar frente preguntar espejito espejito,01111000100100100101110010100000110001001000011010100100001101010
frente preguntar espejito espejito quién,01001011100101000001100010010000110101001000011010101000100110101
preguntar espejito espejito quién hermoso,10000011000100100001101010010000110101010001001101010101010010010
espejito espejito quién hermoso reino,01000011010100100001101010100010011010101010100100101000111001000
entonces espejo responder hermoso todo,00111111000110100001101011100100000101101010100100101010000111001
espejo responder hermoso todo mujer,01000011010111001000001011010101001001010100001110010110111100011
reina quedar satisfecho pues saber,10001110001011000100010010100101011000010000111010001001001110110
quedar satisfecho pues saber espejo,10001000100101001010110000100001110100010010011101100100001101011
satisfecho pues saber espejo siempre,10010101100001000011101000100100111011001000011010111001011110110
pues saber espejo siempre decir,10000111010001001001110110010000110101110010111101100010111001010
saber espejo siempre decir verdad,10010011101100100001101011100101111011000101110010101010100100100
embargo pasar año belleza bondad,00111011000110111100101100000100101101100010100011110001010111101
pasar año belleza bondad blancanieves,01111001011000001001011011000101000111100010101111010001010101000
año belleza bondad blancanieves hacer,00010010110110001010001111000101011110100010101010000101001001100
belleza bondad blancanieves hacer evidente,00010100011110001010111101000101010100001010010011000100010111001
todo buena cualidad superar belleza,10100001110010001011101101001010110011110011100000000001010001111
buena cualidad superar belleza físico,00010111011010010101100111100111000000000010100011110100110011101
cualidad superar belleza físico reina,00101011001111001110000000000101000111101001100111011000111000101
llegar fin día reina preguntar,01100011100010100100111011001110011011010001110001011000001100010
fin día reina preguntar nuevo,01001001110110011100110110100011100010110000011000100111001011011
día reina preguntar nuevo espejito,00111001101101000111000101100000110001001110010110110100001101010
reina preguntar nuevo espejito espejito,10001110001011000001100010011100101101101000011010100100001101010
preguntar nuevo espejito espejito quién,10000011000100111001011011010000110101001000011010101000100110101
nuevo espejito espejito quién hermoso,01110010110110100001101010010000110101010001001101010101010010010
espejo contestar blancaniev bondad hacer,01000011010110010011110011000101010011100010101111010101001001100
contestar blancaniev bondad hacer ser,00100111100110001010100111000101011110101010010011001001011011110
blancaniev bondad hacer ser aún,00010101001110001010111101010100100110010010110111100001001011100
bondad hacer ser aún bello,00010101111010101001001100100101101111000010010111000001010010000
érar vez molinerir pobre dejar,10101101100101010100111100011011011010110000000110010010111100001
vez molinerir pobre dejar tres,10101001111000110110110101100000001100100101111000011010010010100
molinerir pobre dejar tres hijo,01101101101011000000011001001011110000110100100101000101010100111
pobre dejar tres hijo herencia,10000000110010010111100001101001001010001010101001110101010000101
dejar tres hijo herencia molino,00101111000011010010010100010101010011101010100001010110110110110
tres hijo herencia molino asno,10100100101000101010100111010101000010101101101101100000111100011
hijo herencia molino asno gato,01010101001110101010000101011011011011000001111000110100110110111
reparto molino hijo mayor asno,10001111001010110110110110010101010011101101001100010000111100011
molino hijo mayor asno segundo,01101101101100101010100111011010011000100001111000111001010111110
hijo mayor asno segundo gato,01010101001110110100110001000011110001110010101111100100110110111
mayor asno segundo gato joven,01101001100010000111100011100101011111001001101101110101111010011
este último lamentar suerte cuanto,01000100101101010110111110011000001000010011011100010010101101010
último lamentar suerte cuanto saber,10101101111100110000010000100110111000100101011010101001001110110
lamentar suerte cuanto saber cuál,01100000100001001101110001001010110101010010011101100010110011110
suerte cuanto saber cuál parte,10011011100010010101101010100100111011000101100111100111100100010
hermano trabajar junto hacer fortuna,01010100011111010001100101010111111000101010010011000100101100001
trabajar junto hacer fortuna sólo,10100011001010101111110001010100100110001001011000011001110100110
junto hacer fortuna sólo gato,01011111100010101001001100010010110000110011101001100100110110111
gato escuchar palabra joven amo,01001101101110100001000000011101111001101011110100110000100101110
escuchar palabra joven amo decidido,01000010000000111011110011010111101001100001001011100010111001000
palabra joven amo decidido ayudar,01110111100110101111010011000010010111000101110010000001001001010
joven amo decidido ayudar él,01011110100110000100101110001011100100000010010010101010110110000
amo decidido ayudar él decir,00001001011100010111001000000100100101010101101100000010111001010
decidido ayudar él decir preocupe,00101110010000001001001010101011011000000101110010101000001110000
ayudar él decir preocupe señor,00010010010101010110110000001011100101010000011100001001011101101
él decir preocupe señor poder,10101101100000010111001010100000111000010010111011011000000100010
decir preocupe señor poder ser,00101110010101000001110000100101110110110000001000101001011011110
preocupe señor poder ser útil,10000011100001001011101101100000010001010010110111101010111000001
señor poder ser útil valioso,10010111011011000000100010100101101111010101110000011010011100101
poder ser útil valioso pensar,10000001000101001011011110101011100000110100111001010111101111100
pedir favor regalar saco par,01111010110110100100010101100011011010110010100000100111100001111
favor regalar saco par bota,01001000101011000110110101100101000001001111000011110001011001001
regalar saco par bota andar,10001101101011001010000010011110000111100010110010010000100111010
saco par bota andar matorral,10010100000100111100001111000101100100100001001110100110100101111
aunque joven amo creer palabra,00010001011100101111010011000010010111000101010010100111011110011
joven amo creer palabra gato,01011110100110000100101110001010100101001110111100110100110110111
amo creer palabra gato dar,00001001011100010101001010011101111001101001101101110010110110100
creer palabra gato dar pedir,00101010010100111011110011010011011011100101101101000111101011011
palabra gato dar pedir pues,01110111100110100110110111001011011010001111010110111000011101000
gato dar pedir pues saber,01001101101110010110110100011110101101110000111010001001001110110
dar pedir pues saber animal,00101101101000111101011011100001110100010010011101100000101000101
pedir pues saber animal astuto,01111010110111000011101000100100111011000001010001010000111101111
poner plan marcha gato reunir,10000001101110111111111011011010001011001001101101111001000011110
plan marcha gato reunir zanahoria,01111111110110110100010110010011011011110010000111101010110010000
marcha gato reunir zanahoria boscar,01101000101100100110110111100100001111010101100100000001011000101
gato reunir zanahoria boscar cazar,01001101101111001000011110101011001000000010110001010001110110111
reunir zanahoria boscar cazar conejo,10010000111101010110010000000101100010100011101101110010010110011
saco lleno conejo bota nuevo,10010100000100110001111000001001011001100010110010010111001011011
lleno conejo bota nuevo dirigir,01100011110000010010110011000101100100101110010110110011011001100
conejo bota nuevo dirigir hacia,00100101100110001011001001011100101101100110110011000101001010100
bota nuevo dirigir hacia palacio,00010110010010111001011011001101100110001010010101000111011110101
